tahun_masuk,jenis_kelamin,id_prodi,id_status_masuk_mahasiswa,sks,kode_tahun_ajaran,id_status_mahasiswa,IPS1,IPS2,IPS3,IPS4,IPS5,IPS6,IPS7,IPS8
2019,Perempuan,00042efb-9c8f-11ec-8c04-3a3343etik21,P,3.32,20191,N,3.32,3.43,3.25,3.27,3.39,3.66,3.88,3.25
2019,Perempuan,00042efb-9c8f-11ec-8c04-3a3343etik21,P,3.52,20191,N,3.52,3.48,3.39,3.59,3.55,3.59,3.82,0.00
2019,Perempuan,00042efb-9c8f-11ec-8c04-3a3343etik21,P,3.40,20201,N,3.77,3.62,3.40,3.11,3.01,3.13,3.19,3.12
2019,Perempuan,00042efb-9c8f-11ec-8c04-3a3343etik21,P,3.73,20211,N,3.15,3.45,3.52,3.50,3.73,3.58,3.90,3.50
2019,Perempuan,00042efb-9c8f-11ec-8c04-3a3343etik21,P,3.62,20222,N,3.64,3.65,3.56,3.72,2.82,0.00,3.25,3.62
2019,Perempuan,00042efb-9c8f-11ec-8c04-3a3343etik21,P,3.57,20192,N,3.55,3.57,3.60,3.83,3.85,0.00,0.00,3.75
2019,Perempuan,00042efb-9c8f-11ec-8c04-3a3343etik21,P,3.61,20192,N,3.71,3.61,3.50,3.64,3.70,3.61,4.00,3.50
2019,Perempuan,00042efb-9c8f-11ec-8c04-3a3343etik21,P,3.75,20222,N,3.68,3.75,3.20,3.77,3.79,3.80,4.00,3.75
2019,Perempuan,00042efb-9c8f-11ec-8c04-3a3343etik21,P,3.48,20202,N,3.42,3.61,3.57,3.48,3.77,3.55,4.00,0.00
2019,Perempuan,00042efb-9c8f-11ec-8c04-3a3343etik21,P,3.84,20222,N,3.41,3.59,3.38,3.56,3.65,0.00,0.00,3.84
2019,Perempuan,00042efb-9c8f-11ec-8c04-3a3343etik21,P,3.57,20201,N,2.80,3.18,3.57,3.70,3.66,3.66,3.89,3.75
2019,Perempuan,00042efb-9c8f-11ec-8c04-3a3343etik21,P,3.31,20201,N,3.66,3.59,3.31,3.27,3.46,3.48,3.17,0.00
2019,Perempuan,00042efb-9c8f-11ec-8c04-3a3343etik21,P,0.00,20222,N,3.48,3.69,3.88,0.00,3.50,3.66,0.00,0.00
2019,Perempuan,00042efb-9c8f-11ec-8c04-3a3343etik21,P,3.68,20211,N,3.58,3.60,3.82,0.00,3.68,3.80,3.68,3.52
2019,Perempuan,00042efb-9c8f-11ec-8c04-3a3343etik21,P,0.00,20211,N,3.77,3.68,3.36,3.66,0.00,0.00,0.00,0.00
2019,Perempuan,00042efb-9c8f-11ec-8c04-3a3343etik21,P,3.73,20221,N,3.57,3.65,3.46,3.64,2.55,0.00,3.73,3.58
2019,Perempuan,00042efb-9c8f-11ec-8c04-3a3343etik21,P,3.45,20222,N,3.55,3.83,3.80,0.00,3.25,3.69,3.42,3.45
2019,Perempuan,00042efb-9c8f-11ec-8c04-3a3343etik21,P,3.48,20222,N,3.36,3.43,3.20,3.39,2.93,3.06,3.39,3.48
2019,Perempuan,00042efb-9c8f-11ec-8c04-3a3343etik21,P,0.00,20212,N,3.51,3.80,3.66,3.71,3.59,0.00,0.00,0.00
2019,Perempuan,00042efb-9c8f-11ec-8c04-3a3343etik21,P,2.61,20202,N,4.00,0.00,0.00,2.61,2.79,2.13,2.95,2.80
2019,Perempuan,00042efb-9c8f-11ec-8c04-3a3343etik21,P,0.00,20202,N,3.58,3.78,3.85,0.00,0.00,0.00,0.00,3.25
2019,Perempuan,00042efb-9c8f-11ec-8c04-3a3343etik21,P,3.70,20192,N,3.79,3.70,3.58,3.67,3.82,0.00,0.00,0.00
2019,Perempuan,00042efb-9c8f-11ec-8c04-3a3343etik21,P,3.61,20191,N,3.61,3.75,3.64,3.59,3.68,3.66,3.68,0.00
2019,Perempuan,00042efb-9c8f-11ec-8c04-3a3343etik21,P,3.25,20192,N,3.43,3.25,3.48,3.48,3.34,3.59,3.59,3.70
2019,Perempuan,00042efb-9c8f-11ec-8c04-3a3343etik21,P,3.50,20212,N,3.64,3.50,3.64,3.66,3.82,3.50,3.67,3.69
2019,Perempuan,00042efb-9c8f-11ec-8c04-3a3343etik21,P,3.07,20201,N,3.66,3.74,3.07,3.30,3.54,0.00,0.00,0.00
2019,Perempuan,00042efb-9c8f-11ec-8c04-3a3343etik21,P,3.50,20222,N,3.61,3.45,3.00,3.50,3.67,3.64,3.89,3.50
2019,Perempuan,00042efb-9c8f-11ec-8c04-3a3343etik21,P,3.75,20222,N,3.40,3.57,3.42,3.39,3.40,3.33,0.08,3.75
2019,Perempuan,00042efb-9c8f-11ec-8c04-3a3343etik21,P,3.63,20201,N,3.64,3.61,3.63,3.69,3.75,3.76,4.00,3.00
2019,Perempuan,00042efb-9c8f-11ec-8c04-3a3343etik21,P,3.50,20201,N,3.75,0.00,3.50,3.39,2.59,3.50,3.50,3.36
2019,Perempuan,00042efb-9c8f-11ec-8c04-3a3343etik21,P,3.55,20191,N,3.55,3.81,3.81,3.77,3.76,3.75,3.90,3.50
2019,Perempuan,00042efb-9c8f-11ec-8c04-3a3343etik21,P,3.66,20212,N,3.30,3.52,3.44,3.58,3.50,3.66,4.00,3.50
2019,Perempuan,00042efb-9c8f-11ec-8c04-3a3343etik21,P,3.79,20221,N,3.84,3.82,3.73,3.86,3.89,3.70,3.79,3.54
